1	4
1	6
1	9
1	11
1	13
1	15
1	17
1	21
1	22
1	25
2	12
2	16
2	23
2	53
2	2053
2	2055
2	2056
2	2057
2	2058
2	2060
2	2061
3	2055
4	1
4	2638
4	2888
4	2959
4	2960
5	815
5	1095
5	1528
5	1644
5	1649
5	2054
5	2056
5	2548
5	4219
5	12367
6	1
6	15
6	18
6	53
6	335
6	1638
6	1644
6	2055
6	2059
6	7817
7	11
7	15
7	16
7	683
7	970
7	1079
7	1645
7	1724
7	5304
7	13320
7	13421
7	14763
7	14764
8	50
8	1005
8	2636
8	12167
9	1
9	125
9	161
9	178
9	196
9	238
9	242
9	280
9	299
9	320
9	358
9	364
9	423
9	449
9	451
9	471
9	565
9	631
9	632
9	639
9	646
9	649
9	656
9	764
9	776
9	797
9	1132
9	1135
9	1192
9	1237
9	1509
9	1640
9	1647
9	1656
9	1739
9	1874
9	2075
9	2175
9	2294
9	2295
9	2297
9	2331
9	2340
9	2390
9	2410
9	2416
9	2447
9	2450
9	2544
9	2560
9	3068
9	3131
9	3277
9	3587
9	3977
9	3989
9	4295
9	4388
9	4539
9	4626
9	4675
9	4832
9	4836
9	4921
9	4963
9	5155
9	5187
9	5207
9	5230
9	5405
9	5428
9	5510
9	5611
9	5752
9	6068
9	6493
9	6927
9	7550
9	7577
9	8722
9	9018
9	9300
9	10700
9	11203
9	12390
9	12468
9	14822
9	15070
9	15435
9	15437
9	15438
9	15439
9	15440
9	15441
9	15443
9	15445
9	15450
10	13
11	1
11	7
11	16
11	17
11	18
11	23
11	814
11	1095
11	1237
11	1648
11	2056
11	2291
12	2
12	16
12	17
12	979
13	1
13	10
13	999
13	2882
13	3126
13	3190
13	3200
13	3208
13	3212
13	3222
13	3224
13	3366
13	5890
13	10086
13	13549
13	15416
13	15529
13	16591
13	16592
13	16594
13	20729
14	93
14	113
14	122
14	160
14	433
14	818
14	1898
14	1899
14	1902
14	1928
14	3371
14	3588
14	3663
14	3732
14	3943
14	4374
14	5043
14	5053
14	5055
14	5058
14	5120
14	5168
14	5170
14	5410
14	6261
14	6264
14	7065
14	7111
14	8129
14	8130
14	8432
14	8645
14	8653
14	8703
14	9231
14	9337
14	9803
14	9857
14	9858
14	9879
14	9904
14	9909
14	10131
14	10884
14	11273
14	11314
14	11315
14	11318
14	11680
14	11784
14	11795
14	11820
14	11990
14	12331
14	12971
14	12972
14	12975
14	12992
14	12993
14	12995
14	13005
14	13496
14	13499
14	14095
14	14685
14	15299
14	16535
14	16541
14	16561
14	17056
14	17097
14	18007
14	19422
14	19495
14	19512
14	19531
14	20027
14	20380
14	20795
14	22283
14	22289
14	22339
14	22669
14	22682
14	23597
14	24369
14	24536
14	24546
14	24991
14	25208
14	25542
14	25556
14	25672
14	25734
14	25741
14	25763
14	25988
14	26853
14	26928
14	26930
14	26933
14	26934
14	26938
14	26940
14	26941
14	26943
14	26947
14	26951
14	26952
14	26953
14	26958
15	1
15	6
15	7
15	17
15	22
15	53
15	94
15	100
15	469
15	509
15	511
15	518
15	519
15	536
15	583
15	780
15	788
15	789
15	1189
15	1209
15	1642
15	1648
15	1922
15	1940
15	1973
15	1980
15	1983
15	1986
15	1993
15	2234
15	2297
15	2300
15	2302
15	2315
15	2323
15	2333
15	2368
15	3375
15	3596
15	3901
15	6261
15	6262
15	7734
15	8082
15	8413
15	9290
15	12146
15	16169
15	18649
15	20474
15	27620
16	2
16	7
16	11
16	12
16	17
16	18
16	19
16	1003
16	2055
16	2511
16	6570
16	7817
16	10617
16	16424
16	27999
16	28000
17	1
17	11
17	12
17	15
17	16
17	18
17	51
17	479
17	1003
17	1645
17	6375
18	6
18	11
18	16
18	17
18	23
18	358
18	1103
18	1237
18	1528
18	2332
18	3860
19	16
19	309
19	1103
19	3980
19	4223
19	7900
19	28626
19	28627
20	23
20	2053
20	2929
20	3173
20	5798
20	9534
20	10292
20	12441
20	22168
20	23875
